Position,Year,Week,Number of Neighbors,Weighting,Mechanism,Computed Error,ESPN Error
Quarterback,2014,4,30,uniform,Total average,661.6,163.0
Quarterback,2014,5,30,uniform,Total average,532.7,209.0
Quarterback,2014,6,30,uniform,Total average,460.9,237.0
Quarterback,2014,7,30,uniform,Total average,314.16666667,197.0
Quarterback,2014,8,30,uniform,Total average,348.4,226.0
Quarterback,2014,9,30,uniform,Total average,308.,180.0
Quarterback,2014,2,40,uniform,Total average,0,0
Quarterback,2014,3,40,uniform,Total average,757.525,227.0
Quarterback,2014,4,40,uniform,Total average,675.85,163.0
Quarterback,2014,5,40,uniform,Total average,616.325,209.0
Quarterback,2014,6,40,uniform,Total average,524.175,237.0
Quarterback,2014,7,40,uniform,Total average,347.625,197.0
Quarterback,2014,8,40,uniform,Total average,381.575,226.0
Quarterback,2014,9,40,uniform,Total average,301.575,180.0
Quarterback,2014,2,50,uniform,Total average,0,0
Quarterback,2014,3,50,uniform,Total average,767.26,227.0
Quarterback,2014,4,50,uniform,Total average,677.08,163.0
Quarterback,2014,5,50,uniform,Total average,639.34,209.0
Quarterback,2014,6,50,uniform,Total average,557.36,237.0
Quarterback,2014,7,50,uniform,Total average,376.38,197.0
Quarterback,2014,8,50,uniform,Total average,410.42,226.0
Quarterback,2014,9,50,uniform,Total average,315.38,180.0
Quarterback,2014,2,60,uniform,Total average,0,0
Quarterback,2014,3,60,uniform,Total average,777.96666667,227.0
Quarterback,2014,4,60,uniform,Total average,696.48333333,163.0
Quarterback,2014,5,60,uniform,Total average,661.31666667,209.0
Quarterback,2014,6,60,uniform,Total average,578.7,237.0
Quarterback,2014,7,60,uniform,Total average,421.68333333,197.0
Quarterback,2014,8,60,uniform,Total average,430.85,226.0
Quarterback,2014,9,60,uniform,Total average,333.26666667,180.0
Quarterback,2014,2,70,uniform,Total average,0,0
Quarterback,2014,3,70,uniform,Total average,0,0
Quarterback,2014,4,70,uniform,Total average,713.05714286,163.0
Quarterback,2014,5,70,uniform,Total average,685.58571429,209.0
Quarterback,2014,6,70,uniform,Total average,620.4,237.0
Quarterback,2014,7,70,uniform,Total average,472.92857143,197.0
Quarterback,2014,8,70,uniform,Total average,456.12857143,226.0
Quarterback,2014,9,70,uniform,Total average,356.05714286,180.0
Quarterback,2014,2,80,uniform,Total average,0,0
Quarterback,2014,3,80,uniform,Total average,0,0
Quarterback,2014,4,80,uniform,Total average,720.2125,163.0
Quarterback,2014,5,80,uniform,Total average,691.25,209.0
Quarterback,2014,6,80,uniform,Total average,640.825,237.0
Quarterback,2014,7,80,uniform,Total average,498.8125,197.0
Quarterback,2014,8,80,uniform,Total average,478.475,226.0
Quarterback,2014,9,80,uniform,Total average,368.1875,180.0
Quarterback,2014,2,90,uniform,Total average,0,0
Quarterback,2014,3,90,uniform,Total average,0,0
Quarterback,2014,4,90,uniform,Total average,714.07777778,163.0
Quarterback,2014,5,90,uniform,Total average,703.56666667,209.0
Quarterback,2014,6,90,uniform,Total average,665.88888889,237.0
Quarterback,2014,7,90,uniform,Total average,506.05555556,197.0
Quarterback,2014,8,90,uniform,Total average,508.86666667,226.0
Quarterback,2014,9,90,uniform,Total average,383.82222222,180.0
