Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,2,110,uniform,l2,507.6,460.0
Wide Receiver,2014,3,110,uniform,l2,516.23636364,505.0
Wide Receiver,2014,4,110,uniform,l2,326.03636364,384.0
Wide Receiver,2014,5,110,uniform,l2,497.01818182,521.0
Wide Receiver,2014,6,110,uniform,l2,573.52727273,549.0
Wide Receiver,2014,7,110,uniform,l2,543.,443.0
Wide Receiver,2014,8,110,uniform,l2,530.09090909,493.0
Wide Receiver,2014,9,110,uniform,l2,436.85454545,406.0
Wide Receiver,2014,10,110,uniform,l2,468.09090909,396.0
Wide Receiver,2014,2,120,uniform,l2,508.95833333,460.0
Wide Receiver,2014,3,120,uniform,l2,517.075,505.0
Wide Receiver,2014,4,120,uniform,l2,326.05833333,384.0
Wide Receiver,2014,5,120,uniform,l2,494.81666667,521.0
Wide Receiver,2014,6,120,uniform,l2,573.95,549.0
Wide Receiver,2014,7,120,uniform,l2,544.45833333,443.0
Wide Receiver,2014,8,120,uniform,l2,530.425,493.0
Wide Receiver,2014,9,120,uniform,l2,438.2,406.0
Wide Receiver,2014,10,120,uniform,l2,467.475,396.0
Wide Receiver,2014,2,130,uniform,l2,511.68461538,460.0
Wide Receiver,2014,3,130,uniform,l2,517.12307692,505.0
Wide Receiver,2014,4,130,uniform,l2,326.66153846,384.0
Wide Receiver,2014,5,130,uniform,l2,496.93846154,521.0
Wide Receiver,2014,6,130,uniform,l2,572.03076923,549.0
Wide Receiver,2014,7,130,uniform,l2,544.17692308,443.0
Wide Receiver,2014,8,130,uniform,l2,533.01538462,493.0
Wide Receiver,2014,9,130,uniform,l2,436.79230769,406.0
Wide Receiver,2014,10,130,uniform,l2,468.37692308,396.0
Wide Receiver,2014,2,140,uniform,l2,514.87857143,460.0
Wide Receiver,2014,3,140,uniform,l2,520.19285714,505.0
Wide Receiver,2014,4,140,uniform,l2,328.10714286,384.0
Wide Receiver,2014,5,140,uniform,l2,497.89285714,521.0
Wide Receiver,2014,6,140,uniform,l2,573.41428571,549.0
Wide Receiver,2014,7,140,uniform,l2,543.90714286,443.0
Wide Receiver,2014,8,140,uniform,l2,535.08571429,493.0
Wide Receiver,2014,9,140,uniform,l2,436.03571429,406.0
Wide Receiver,2014,10,140,uniform,l2,468.66428571,396.0
Wide Receiver,2014,2,150,uniform,l2,515.96666667,460.0
Wide Receiver,2014,3,150,uniform,l2,520.48666667,505.0
Wide Receiver,2014,4,150,uniform,l2,328.43333333,384.0
Wide Receiver,2014,5,150,uniform,l2,498.58,521.0
Wide Receiver,2014,6,150,uniform,l2,572.68,549.0
Wide Receiver,2014,7,150,uniform,l2,542.58,443.0
Wide Receiver,2014,8,150,uniform,l2,536.75333333,493.0
Wide Receiver,2014,9,150,uniform,l2,434.4,406.0
Wide Receiver,2014,10,150,uniform,l2,469.23333333,396.0
Wide Receiver,2014,2,10,uniform,l1,480.6,460.0
Wide Receiver,2014,3,10,uniform,l1,487.2,505.0
Wide Receiver,2014,4,10,uniform,l1,328.8,384.0
Wide Receiver,2014,5,10,uniform,l1,468.6,521.0
Wide Receiver,2014,6,10,uniform,l1,568.3,549.0
Wide Receiver,2014,7,10,uniform,l1,519.1,443.0
Wide Receiver,2014,8,10,uniform,l1,530.8,493.0
Wide Receiver,2014,9,10,uniform,l1,385.2,406.0
Wide Receiver,2014,10,10,uniform,l1,443.9,396.0
Wide Receiver,2014,2,20,uniform,l1,481.4,460.0
Wide Receiver,2014,3,20,uniform,l1,498.55,505.0
Wide Receiver,2014,4,20,uniform,l1,326.7,384.0
Wide Receiver,2014,5,20,uniform,l1,494.25,521.0
Wide Receiver,2014,6,20,uniform,l1,576.7,549.0
Wide Receiver,2014,7,20,uniform,l1,535.75,443.0
Wide Receiver,2014,8,20,uniform,l1,512.1,493.0
Wide Receiver,2014,9,20,uniform,l1,428.3,406.0
Wide Receiver,2014,10,20,uniform,l1,457.,396.0
Wide Receiver,2014,2,30,uniform,l1,484.46666667,460.0
Wide Receiver,2014,3,30,uniform,l1,501.,505.0
Wide Receiver,2014,4,30,uniform,l1,328.5,384.0
Wide Receiver,2014,5,30,uniform,l1,504.4,521.0
Wide Receiver,2014,6,30,uniform,l1,568.13333333,549.0
Wide Receiver,2014,7,30,uniform,l1,526.63333333,443.0
Wide Receiver,2014,8,30,uniform,l1,516.43333333,493.0
Wide Receiver,2014,9,30,uniform,l1,431.23333333,406.0
Wide Receiver,2014,10,30,uniform,l1,466.46666667,396.0
Wide Receiver,2014,2,40,uniform,l1,493.575,460.0
Wide Receiver,2014,3,40,uniform,l1,505.7,505.0
Wide Receiver,2014,4,40,uniform,l1,328.975,384.0
Wide Receiver,2014,5,40,uniform,l1,496.2,521.0
Wide Receiver,2014,6,40,uniform,l1,566.95,549.0
Wide Receiver,2014,7,40,uniform,l1,539.375,443.0
Wide Receiver,2014,8,40,uniform,l1,527.325,493.0
Wide Receiver,2014,9,40,uniform,l1,430.15,406.0
Wide Receiver,2014,10,40,uniform,l1,473.25,396.0
Wide Receiver,2014,2,50,uniform,l1,500.48,460.0
Wide Receiver,2014,3,50,uniform,l1,510.6,505.0
Wide Receiver,2014,4,50,uniform,l1,326.74,384.0
Wide Receiver,2014,5,50,uniform,l1,500.28,521.0
Wide Receiver,2014,6,50,uniform,l1,564.88,549.0
Wide Receiver,2014,7,50,uniform,l1,539.98,443.0
Wide Receiver,2014,8,50,uniform,l1,534.9,493.0
Wide Receiver,2014,9,50,uniform,l1,437.26,406.0
Wide Receiver,2014,10,50,uniform,l1,472.82,396.0
Wide Receiver,2014,2,60,uniform,l1,501.15,460.0
Wide Receiver,2014,3,60,uniform,l1,514.48333333,505.0
Wide Receiver,2014,4,60,uniform,l1,330.03333333,384.0
Wide Receiver,2014,5,60,uniform,l1,497.18333333,521.0
Wide Receiver,2014,6,60,uniform,l1,569.63333333,549.0
Wide Receiver,2014,7,60,uniform,l1,543.25,443.0
Wide Receiver,2014,8,60,uniform,l1,528.76666667,493.0
Wide Receiver,2014,9,60,uniform,l1,434.76666667,406.0
Wide Receiver,2014,10,60,uniform,l1,475.38333333,396.0
Wide Receiver,2014,2,70,uniform,l1,503.37142857,460.0
Wide Receiver,2014,3,70,uniform,l1,511.25714286,505.0
Wide Receiver,2014,4,70,uniform,l1,324.71428571,384.0
Wide Receiver,2014,5,70,uniform,l1,496.84285714,521.0
Wide Receiver,2014,6,70,uniform,l1,572.67142857,549.0
Wide Receiver,2014,7,70,uniform,l1,540.84285714,443.0
Wide Receiver,2014,8,70,uniform,l1,533.64285714,493.0
Wide Receiver,2014,9,70,uniform,l1,433.42857143,406.0
Wide Receiver,2014,10,70,uniform,l1,469.48571429,396.0
Wide Receiver,2014,2,80,uniform,l1,505.5875,460.0
Wide Receiver,2014,3,80,uniform,l1,510.775,505.0
Wide Receiver,2014,4,80,uniform,l1,322.1875,384.0
Wide Receiver,2014,5,80,uniform,l1,496.1375,521.0
Wide Receiver,2014,6,80,uniform,l1,573.5125,549.0
Wide Receiver,2014,7,80,uniform,l1,545.4875,443.0
Wide Receiver,2014,8,80,uniform,l1,534.875,493.0
Wide Receiver,2014,9,80,uniform,l1,436.05,406.0
Wide Receiver,2014,10,80,uniform,l1,468.2625,396.0
Wide Receiver,2014,2,90,uniform,l1,507.71111111,460.0
Wide Receiver,2014,3,90,uniform,l1,511.27777778,505.0
Wide Receiver,2014,4,90,uniform,l1,324.,384.0
Wide Receiver,2014,5,90,uniform,l1,495.08888889,521.0
Wide Receiver,2014,6,90,uniform,l1,573.05555556,549.0
Wide Receiver,2014,7,90,uniform,l1,546.06666667,443.0
Wide Receiver,2014,8,90,uniform,l1,533.38888889,493.0
Wide Receiver,2014,9,90,uniform,l1,434.27777778,406.0
Wide Receiver,2014,10,90,uniform,l1,465.97777778,396.0
Wide Receiver,2014,2,100,uniform,l1,509.73,460.0
Wide Receiver,2014,3,100,uniform,l1,515.81,505.0
Wide Receiver,2014,4,100,uniform,l1,325.05,384.0
Wide Receiver,2014,5,100,uniform,l1,494.98,521.0
Wide Receiver,2014,6,100,uniform,l1,578.79,549.0
Wide Receiver,2014,7,100,uniform,l1,548.9,443.0
Wide Receiver,2014,8,100,uniform,l1,530.9,493.0
Wide Receiver,2014,9,100,uniform,l1,432.72,406.0
Wide Receiver,2014,10,100,uniform,l1,467.87,396.0
Wide Receiver,2014,2,110,uniform,l1,512.90909091,460.0
Wide Receiver,2014,3,110,uniform,l1,517.85454545,505.0
Wide Receiver,2014,4,110,uniform,l1,326.34545455,384.0
Wide Receiver,2014,5,110,uniform,l1,495.06363636,521.0
Wide Receiver,2014,6,110,uniform,l1,576.71818182,549.0
Wide Receiver,2014,7,110,uniform,l1,546.05454545,443.0
Wide Receiver,2014,8,110,uniform,l1,529.91818182,493.0
Wide Receiver,2014,9,110,uniform,l1,434.79090909,406.0
Wide Receiver,2014,10,110,uniform,l1,468.79090909,396.0
Wide Receiver,2014,2,120,uniform,l1,513.075,460.0
Wide Receiver,2014,3,120,uniform,l1,520.05,505.0
Wide Receiver,2014,4,120,uniform,l1,326.675,384.0
Wide Receiver,2014,5,120,uniform,l1,497.56666667,521.0
Wide Receiver,2014,6,120,uniform,l1,574.525,549.0
Wide Receiver,2014,7,120,uniform,l1,544.55,443.0
Wide Receiver,2014,8,120,uniform,l1,528.78333333,493.0
Wide Receiver,2014,9,120,uniform,l1,435.24166667,406.0
Wide Receiver,2014,10,120,uniform,l1,468.21666667,396.0
Wide Receiver,2014,2,130,uniform,l1,514.72307692,460.0
Wide Receiver,2014,3,130,uniform,l1,521.46153846,505.0
Wide Receiver,2014,4,130,uniform,l1,326.77692308,384.0
Wide Receiver,2014,5,130,uniform,l1,496.83076923,521.0
Wide Receiver,2014,6,130,uniform,l1,574.30769231,549.0
Wide Receiver,2014,7,130,uniform,l1,544.73076923,443.0
Wide Receiver,2014,8,130,uniform,l1,533.78461538,493.0
Wide Receiver,2014,9,130,uniform,l1,437.2,406.0
Wide Receiver,2014,10,130,uniform,l1,471.18461538,396.0
Wide Receiver,2014,2,140,uniform,l1,517.71428571,460.0
Wide Receiver,2014,3,140,uniform,l1,523.15714286,505.0
Wide Receiver,2014,4,140,uniform,l1,325.82857143,384.0
Wide Receiver,2014,5,140,uniform,l1,496.64285714,521.0
Wide Receiver,2014,6,140,uniform,l1,577.54285714,549.0
Wide Receiver,2014,7,140,uniform,l1,543.97142857,443.0
Wide Receiver,2014,8,140,uniform,l1,534.02142857,493.0
Wide Receiver,2014,9,140,uniform,l1,436.27857143,406.0
Wide Receiver,2014,10,140,uniform,l1,470.27857143,396.0
Wide Receiver,2014,2,150,uniform,l1,518.72666667,460.0
Wide Receiver,2014,3,150,uniform,l1,522.55333333,505.0
Wide Receiver,2014,4,150,uniform,l1,326.54,384.0
Wide Receiver,2014,5,150,uniform,l1,496.36,521.0
Wide Receiver,2014,6,150,uniform,l1,576.11333333,549.0
Wide Receiver,2014,7,150,uniform,l1,542.98,443.0
Wide Receiver,2014,8,150,uniform,l1,537.35333333,493.0
Wide Receiver,2014,9,150,uniform,l1,436.60666667,406.0
Wide Receiver,2014,10,150,uniform,l1,470.43333333,396.0
Wide Receiver,2014,2,10,distance,l2,481.9474423,460.0
Wide Receiver,2014,3,10,distance,l2,483.14806762,505.0
Wide Receiver,2014,4,10,distance,l2,325.92873123,384.0
Wide Receiver,2014,5,10,distance,l2,474.72369952,521.0
Wide Receiver,2014,6,10,distance,l2,570.69432624,549.0
Wide Receiver,2014,7,10,distance,l2,529.70956755,443.0
Wide Receiver,2014,8,10,distance,l2,522.86226692,493.0
Wide Receiver,2014,9,10,distance,l2,374.74203134,406.0
Wide Receiver,2014,10,10,distance,l2,440.25268865,396.0
Wide Receiver,2014,2,20,distance,l2,475.11460235,460.0
Wide Receiver,2014,3,20,distance,l2,497.26309726,505.0
Wide Receiver,2014,4,20,distance,l2,327.99087143,384.0
Wide Receiver,2014,5,20,distance,l2,496.49258284,521.0
