Position,Year,Week,Kernel,C,Epsilon,Degree,Gamma,Coef0,Probability,Shrinking,Norm,Computed Error,ESPN Error
Wide Receiver,2014,4,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,369.28022721,384.0
Wide Receiver,2014,5,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,452.35769819,521.0
Wide Receiver,2014,6,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,526.30992555,549.0
Wide Receiver,2014,7,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,479.35199652,443.0
Wide Receiver,2014,8,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,492.30570209,493.0
Wide Receiver,2014,9,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,385.25582562,406.0
Wide Receiver,2014,10,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,412.11237972,396.0
Wide Receiver,2014,2,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,446.06315187,460.0
Wide Receiver,2014,3,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,475.05948482,505.0
Wide Receiver,2014,4,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,369.01701278,384.0
Wide Receiver,2014,5,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,452.11251552,521.0
Wide Receiver,2014,6,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,526.14220762,549.0
Wide Receiver,2014,7,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,479.23567244,443.0
Wide Receiver,2014,8,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,491.96351331,493.0
Wide Receiver,2014,9,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,384.92416359,406.0
Wide Receiver,2014,10,rbf,2.5,0.1,3,0.0,0.0,False,True,l2,411.95173277,396.0
