Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** ONLY 2013 DATA (for training): varying C **
Wide Receiver,2014,10,rbf,500.0,0.0,0.0,l2,393.08020213,396.0
Wide Receiver,2014,2,rbf,1000,0.0,0.0,l2,321.43662205,460.0
Wide Receiver,2014,3,rbf,1000,0.0,0.0,l2,317.98388075,505.0
Wide Receiver,2014,4,rbf,1000,0.0,0.0,l2,257.33662142,384.0
Wide Receiver,2014,5,rbf,1000,0.0,0.0,l2,411.98591418,521.0
Wide Receiver,2014,6,rbf,1000,0.0,0.0,l2,450.8446669,549.0
Wide Receiver,2014,7,rbf,1000,0.0,0.0,l2,443.14982632,443.0
Wide Receiver,2014,8,rbf,1000,0.0,0.0,l2,428.192372,493.0
Wide Receiver,2014,9,rbf,1000,0.0,0.0,l2,344.96038867,406.0
Wide Receiver,2014,10,rbf,1000,0.0,0.0,l2,392.03196514,396.0
Wide Receiver,2014,2,rbf,10000,0.0,0.0,l2,289.73215703,460.0
Wide Receiver,2014,3,rbf,10000,0.0,0.0,l2,312.93819724,505.0
Wide Receiver,2014,4,rbf,10000,0.0,0.0,l2,257.64729953,384.0
Wide Receiver,2014,5,rbf,10000,0.0,0.0,l2,399.55009363,521.0
Wide Receiver,2014,6,rbf,10000,0.0,0.0,l2,435.43744783,549.0
Wide Receiver,2014,7,rbf,10000,0.0,0.0,l2,433.38133134,443.0
Wide Receiver,2014,8,rbf,10000,0.0,0.0,l2,425.56314455,493.0
Wide Receiver,2014,9,rbf,10000,0.0,0.0,l2,342.71365474,406.0
Wide Receiver,2014,10,rbf,10000,0.0,0.0,l2,386.92240687,396.0

** WITH 2014 DATA: varying gamma, C=100 **
Wide Receiver,2014,2,rbf,100,0.0,1,l2,324.27862397,460.0
Wide Receiver,2014,3,rbf,100,0.0,1,l2,321.73897811,505.0
Wide Receiver,2014,4,rbf,100,0.0,1,l2,261.51770541,384.0
Wide Receiver,2014,5,rbf,100,0.0,1,l2,413.07154706,521.0
Wide Receiver,2014,6,rbf,100,0.0,1,l2,447.42254218,549.0
Wide Receiver,2014,7,rbf,100,0.0,1,l2,443.81186185,443.0
Wide Receiver,2014,8,rbf,100,0.0,1,l2,426.77100829,493.0
Wide Receiver,2014,9,rbf,100,0.0,1,l2,344.94815691,406.0
Wide Receiver,2014,10,rbf,100,0.0,1,l2,386.34807903,396.0
Wide Receiver,2014,2,rbf,100,0.0,3,l2,308.4975882,460.0
Wide Receiver,2014,3,rbf,100,0.0,3,l2,315.08651468,505.0
Wide Receiver,2014,4,rbf,100,0.0,3,l2,259.00442015,384.0
Wide Receiver,2014,5,rbf,100,0.0,3,l2,407.10304328,521.0
Wide Receiver,2014,6,rbf,100,0.0,3,l2,439.49719311,549.0
Wide Receiver,2014,7,rbf,100,0.0,3,l2,438.8931557,443.0
Wide Receiver,2014,8,rbf,100,0.0,3,l2,423.98730184,493.0
Wide Receiver,2014,9,rbf,100,0.0,3,l2,340.13767336,406.0
Wide Receiver,2014,10,rbf,100,0.0,3,l2,384.27964618,396.0
Wide Receiver,2014,2,rbf,100,0.0,5,l2,310.85393855,460.0
Wide Receiver,2014,3,rbf,100,0.0,5,l2,314.24545476,505.0
Wide Receiver,2014,4,rbf,100,0.0,5,l2,257.60825624,384.0
Wide Receiver,2014,5,rbf,100,0.0,5,l2,408.04644908,521.0
Wide Receiver,2014,6,rbf,100,0.0,5,l2,439.48328475,549.0
Wide Receiver,2014,7,rbf,100,0.0,5,l2,436.19569623,443.0
Wide Receiver,2014,8,rbf,100,0.0,5,l2,423.21960857,493.0
Wide Receiver,2014,9,rbf,100,0.0,5,l2,339.03054759,406.0
Wide Receiver,2014,10,rbf,100,0.0,5,l2,386.28670056,396.0
Wide Receiver,2014,2,rbf,100,0.0,5.5,l2,314.09090241,460.0
Wide Receiver,2014,3,rbf,100,0.0,5.5,l2,315.23668366,505.0
Wide Receiver,2014,4,rbf,100,0.0,5.5,l2,257.6210688,384.0
Wide Receiver,2014,5,rbf,100,0.0,5.5,l2,407.50516016,521.0
Wide Receiver,2014,6,rbf,100,0.0,5.5,l2,439.23501944,549.0
Wide Receiver,2014,7,rbf,100,0.0,5.5,l2,436.66096902,443.0
Wide Receiver,2014,8,rbf,100,0.0,5.5,l2,422.92104775,493.0
Wide Receiver,2014,9,rbf,100,0.0,5.5,l2,339.63168675,406.0
Wide Receiver,2014,10,rbf,100,0.0,5.5,l2,386.65596436,396.0
Wide Receiver,2014,2,rbf,100,0.0,6,l2,314.98730406,460.0
Wide Receiver,2014,3,rbf,100,0.0,6,l2,314.49754054,505.0
Wide Receiver,2014,4,rbf,100,0.0,6,l2,257.5704403,384.0
Wide Receiver,2014,5,rbf,100,0.0,6,l2,407.25334915,521.0
Wide Receiver,2014,6,rbf,100,0.0,6,l2,439.29684132,549.0
Wide Receiver,2014,7,rbf,100,0.0,6,l2,436.17483015,443.0
Wide Receiver,2014,8,rbf,100,0.0,6,l2,422.73228362,493.0
Wide Receiver,2014,9,rbf,100,0.0,6,l2,340.14249827,406.0
Wide Receiver,2014,10,rbf,100,0.0,6,l2,386.23950694,396.0
Wide Receiver,2014,2,rbf,100,0.0,6.5,l2,314.38002917,460.0
Wide Receiver,2014,3,rbf,100,0.0,6.5,l2,313.93311971,505.0
Wide Receiver,2014,4,rbf,100,0.0,6.5,l2,257.27097398,384.0
Wide Receiver,2014,5,rbf,100,0.0,6.5,l2,406.96422368,521.0
Wide Receiver,2014,6,rbf,100,0.0,6.5,l2,438.84616131,549.0
Wide Receiver,2014,7,rbf,100,0.0,6.5,l2,436.33878131,443.0
Wide Receiver,2014,8,rbf,100,0.0,6.5,l2,422.65000544,493.0
Wide Receiver,2014,9,rbf,100,0.0,6.5,l2,340.41485103,406.0
Wide Receiver,2014,10,rbf,100,0.0,6.5,l2,386.47140396,396.0
Wide Receiver,2014,2,rbf,100,0.0,6.75,l2,313.66370748,460.0
Wide Receiver,2014,3,rbf,100,0.0,6.75,l2,313.50472094,505.0
Wide Receiver,2014,4,rbf,100,0.0,6.75,l2,257.24334235,384.0
Wide Receiver,2014,5,rbf,100,0.0,6.75,l2,406.79293488,521.0
Wide Receiver,2014,6,rbf,100,0.0,6.75,l2,438.61663816,549.0
Wide Receiver,2014,7,rbf,100,0.0,6.75,l2,436.37055862,443.0
Wide Receiver,2014,8,rbf,100,0.0,6.75,l2,422.712007,493.0
Wide Receiver,2014,9,rbf,100,0.0,6.75,l2,340.49447739,406.0
Wide Receiver,2014,10,rbf,100,0.0,6.75,l2,386.67552447,396.0
Wide Receiver,2014,2,rbf,100,0.0,7,l2,312.55923719,460.0
Wide Receiver,2014,3,rbf,100,0.0,7,l2,312.86274683,505.0
Wide Receiver,2014,4,rbf,100,0.0,7,l2,257.52853607,384.0
Wide Receiver,2014,5,rbf,100,0.0,7,l2,406.62143792,521.0
Wide Receiver,2014,6,rbf,100,0.0,7,l2,438.66966544,549.0
Wide Receiver,2014,7,rbf,100,0.0,7,l2,436.30460767,443.0
Wide Receiver,2014,8,rbf,100,0.0,7,l2,422.77381743,493.0
Wide Receiver,2014,9,rbf,100,0.0,7,l2,340.56756785,406.0
Wide Receiver,2014,10,rbf,100,0.0,7,l2,386.66122162,396.0
Wide Receiver,2014,2,rbf,100,0.0,7.25,l2,312.45504708,460.0
Wide Receiver,2014,3,rbf,100,0.0,7.25,l2,312.44302061,505.0
Wide Receiver,2014,4,rbf,100,0.0,7.25,l2,257.72415707,384.0
Wide Receiver,2014,5,rbf,100,0.0,7.25,l2,406.56008698,521.0
Wide Receiver,2014,6,rbf,100,0.0,7.25,l2,438.86904259,549.0
Wide Receiver,2014,7,rbf,100,0.0,7.25,l2,436.50948296,443.0
Wide Receiver,2014,8,rbf,100,0.0,7.25,l2,422.99130732,493.0
Wide Receiver,2014,9,rbf,100,0.0,7.25,l2,340.63235784,406.0
Wide Receiver,2014,10,rbf,100,0.0,7.25,l2,386.38163435,396.0
Wide Receiver,2014,2,rbf,100,0.0,7.5,l2,312.77464692,460.0
Wide Receiver,2014,3,rbf,100,0.0,7.5,l2,312.00814373,505.0
Wide Receiver,2014,4,rbf,100,0.0,7.5,l2,257.97840775,384.0
Wide Receiver,2014,5,rbf,100,0.0,7.5,l2,406.67153241,521.0
Wide Receiver,2014,6,rbf,100,0.0,7.5,l2,439.11294385,549.0
Wide Receiver,2014,7,rbf,100,0.0,7.5,l2,436.62845007,443.0
Wide Receiver,2014,8,rbf,100,0.0,7.5,l2,423.09470701,493.0
Wide Receiver,2014,9,rbf,100,0.0,7.5,l2,340.67641078,406.0
Wide Receiver,2014,10,rbf,100,0.0,7.5,l2,386.35335424,396.0
Wide Receiver,2014,2,rbf,100,0.0,8,l2,312.77721426,460.0
Wide Receiver,2014,3,rbf,100,0.0,8,l2,311.17500004,505.0
Wide Receiver,2014,4,rbf,100,0.0,8,l2,257.83227056,384.0
Wide Receiver,2014,5,rbf,100,0.0,8,l2,406.67651923,521.0
Wide Receiver,2014,6,rbf,100,0.0,8,l2,439.81015679,549.0
Wide Receiver,2014,7,rbf,100,0.0,8,l2,436.70177014,443.0
Wide Receiver,2014,8,rbf,100,0.0,8,l2,423.31030618,493.0
Wide Receiver,2014,9,rbf,100,0.0,8,l2,341.02765297,406.0
Wide Receiver,2014,10,rbf,100,0.0,8,l2,386.73753344,396.0
Wide Receiver,2014,2,rbf,100,0.0,9,l2,311.25436511,460.0
Wide Receiver,2014,3,rbf,100,0.0,9,l2,311.43171402,505.0
Wide Receiver,2014,4,rbf,100,0.0,9,l2,258.39537734,384.0
Wide Receiver,2014,5,rbf,100,0.0,9,l2,407.73166504,521.0
Wide Receiver,2014,6,rbf,100,0.0,9,l2,439.65962296,549.0
Wide Receiver,2014,7,rbf,100,0.0,9,l2,435.52057508,443.0
Wide Receiver,2014,8,rbf,100,0.0,9,l2,422.98590925,493.0
Wide Receiver,2014,9,rbf,100,0.0,9,l2,341.12982031,406.0
Wide Receiver,2014,10,rbf,100,0.0,9,l2,387.79381855,396.0
Wide Receiver,2014,2,rbf,100,0.0,10,l2,312.85806542,460.0
Wide Receiver,2014,3,rbf,100,0.0,10,l2,310.81211123,505.0
Wide Receiver,2014,4,rbf,100,0.0,10,l2,258.06814616,384.0
Wide Receiver,2014,5,rbf,100,0.0,10,l2,408.76356576,521.0
Wide Receiver,2014,6,rbf,100,0.0,10,l2,439.77447094,549.0
Wide Receiver,2014,7,rbf,100,0.0,10,l2,434.28377896,443.0
Wide Receiver,2014,8,rbf,100,0.0,10,l2,422.26738955,493.0
Wide Receiver,2014,9,rbf,100,0.0,10,l2,341.11871501,406.0
Wide Receiver,2014,10,rbf,100,0.0,10,l2,389.15847367,396.0
Wide Receiver,2014,2,rbf,100,0.0,20,l2,299.62569476,460.0
Wide Receiver,2014,3,rbf,100,0.0,20,l2,314.47544493,505.0
Wide Receiver,2014,4,rbf,100,0.0,20,l2,265.60252205,384.0
Wide Receiver,2014,5,rbf,100,0.0,20,l2,421.03799736,521.0
Wide Receiver,2014,6,rbf,100,0.0,20,l2,439.75791731,549.0
Wide Receiver,2014,7,rbf,100,0.0,20,l2,437.00913045,443.0
Wide Receiver,2014,8,rbf,100,0.0,20,l2,417.37138057,493.0
Wide Receiver,2014,9,rbf,100,0.0,20,l2,336.06948816,406.0
Wide Receiver,2014,10,rbf,100,0.0,20,l2,394.7610862,396.0
Wide Receiver,2014,2,rbf,100,0.0,30,l2,307.71908225,460.0
Wide Receiver,2014,3,rbf,100,0.0,30,l2,325.38230366,505.0
Wide Receiver,2014,4,rbf,100,0.0,30,l2,267.19538811,384.0
Wide Receiver,2014,5,rbf,100,0.0,30,l2,424.03199391,521.0
Wide Receiver,2014,6,rbf,100,0.0,30,l2,440.31370627,549.0
Wide Receiver,2014,7,rbf,100,0.0,30,l2,441.34877005,443.0
Wide Receiver,2014,8,rbf,100,0.0,30,l2,418.02379053,493.0
Wide Receiver,2014,9,rbf,100,0.0,30,l2,338.40313164,406.0
Wide Receiver,2014,10,rbf,100,0.0,30,l2,395.06086952,396.0
Wide Receiver,2014,2,rbf,100,0.0,40,l2,313.43832694,460.0
