Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,4,90,uniform,l2,[ 265.82222222],384.0
Wide Receiver,2014,5,90,uniform,l2,[ 418.91111111],521.0
Wide Receiver,2014,6,90,uniform,l2,[ 458.87777778],549.0
Wide Receiver,2014,7,90,uniform,l2,[ 461.96666667],443.0
Wide Receiver,2014,8,90,uniform,l2,[ 468.31111111],493.0
Wide Receiver,2014,9,90,uniform,l2,[ 374.56666667],406.0
Wide Receiver,2014,10,90,uniform,l2,[ 422.95555556],396.0
Wide Receiver,2014,11,90,uniform,l2,[ 387.44444444],394.0
Wide Receiver,2014,2,100,uniform,l2,[ 328.77],460.0
Wide Receiver,2014,3,100,uniform,l2,[ 336.99],505.0
Wide Receiver,2014,4,100,uniform,l2,[ 264.2],384.0
Wide Receiver,2014,5,100,uniform,l2,[ 416.86],521.0
Wide Receiver,2014,6,100,uniform,l2,[ 459.57],549.0
Wide Receiver,2014,7,100,uniform,l2,[ 459.83],443.0
Wide Receiver,2014,8,100,uniform,l2,[ 467.86],493.0
Wide Receiver,2014,9,100,uniform,l2,[ 374.77],406.0
Wide Receiver,2014,10,100,uniform,l2,[ 424.66],396.0
Wide Receiver,2014,11,100,uniform,l2,[ 387.34],394.0
Wide Receiver,2014,2,110,uniform,l2,[ 330.36363636],460.0
Wide Receiver,2014,3,110,uniform,l2,[ 338.34545455],505.0
Wide Receiver,2014,4,110,uniform,l2,[ 263.55454545],384.0
Wide Receiver,2014,5,110,uniform,l2,[ 416.58181818],521.0
Wide Receiver,2014,6,110,uniform,l2,[ 462.49090909],549.0
Wide Receiver,2014,7,110,uniform,l2,[ 458.40909091],443.0
Wide Receiver,2014,8,110,uniform,l2,[ 465.35454545],493.0
Wide Receiver,2014,9,110,uniform,l2,[ 370.09090909],406.0
Wide Receiver,2014,10,110,uniform,l2,[ 421.38181818],396.0
Wide Receiver,2014,11,110,uniform,l2,[ 387.53636364],394.0
Wide Receiver,2014,2,120,uniform,l2,[ 330.38333333],460.0
Wide Receiver,2014,3,120,uniform,l2,[ 338.25833333],505.0
Wide Receiver,2014,4,120,uniform,l2,[ 263.85833333],384.0
Wide Receiver,2014,5,120,uniform,l2,[ 411.49166667],521.0
Wide Receiver,2014,6,120,uniform,l2,[ 462.41666667],549.0
Wide Receiver,2014,7,120,uniform,l2,[ 457.59166667],443.0
Wide Receiver,2014,8,120,uniform,l2,[ 465.44166667],493.0
Wide Receiver,2014,9,120,uniform,l2,[ 372.8],406.0
Wide Receiver,2014,10,120,uniform,l2,[ 421.3],396.0
Wide Receiver,2014,11,120,uniform,l2,[ 385.1],394.0
Wide Receiver,2014,2,130,uniform,l2,[ 327.38461538],460.0
Wide Receiver,2014,3,130,uniform,l2,[ 339.56153846],505.0
Wide Receiver,2014,4,130,uniform,l2,[ 262.73846154],384.0
Wide Receiver,2014,5,130,uniform,l2,[ 410.35384615],521.0
Wide Receiver,2014,6,130,uniform,l2,[ 462.5],549.0
Wide Receiver,2014,7,130,uniform,l2,[ 457.94615385],443.0
Wide Receiver,2014,8,130,uniform,l2,[ 461.41538462],493.0
Wide Receiver,2014,9,130,uniform,l2,[ 371.93076923],406.0
Wide Receiver,2014,10,130,uniform,l2,[ 422.86923077],396.0
Wide Receiver,2014,11,130,uniform,l2,[ 385.81538462],394.0
Wide Receiver,2014,2,140,uniform,l2,[ 328.46428571],460.0
Wide Receiver,2014,3,140,uniform,l2,[ 339.97857143],505.0
Wide Receiver,2014,4,140,uniform,l2,[ 263.61428571],384.0
Wide Receiver,2014,5,140,uniform,l2,[ 410.23571429],521.0
Wide Receiver,2014,6,140,uniform,l2,[ 461.58571429],549.0
Wide Receiver,2014,7,140,uniform,l2,[ 459.3],443.0
