Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** WITH 2014 DATA: varying C, epsilon=0.0, gamma=7 **
Tight End,2014,7,rbf,100,0.0,15,l2,146.4084577,213.0
Tight End,2014,8,rbf,100,0.0,15,l2,180.08428032,209.0
Tight End,2014,9,rbf,100,0.0,15,l2,141.92172536,166.0
Tight End,2014,10,rbf,100,0.0,15,l2,131.55288158,132.0
Tight End,2014,2,rbf,100,0.0,25,l2,111.9892781,233.0
Tight End,2014,3,rbf,100,0.0,25,l2,153.69356166,199.0
Tight End,2014,4,rbf,100,0.0,25,l2,103.15635385,126.0
Tight End,2014,5,rbf,100,0.0,25,l2,146.18276329,195.0
Tight End,2014,6,rbf,100,0.0,25,l2,180.01960255,188.0
Tight End,2014,7,rbf,100,0.0,25,l2,159.90344732,213.0
Tight End,2014,8,rbf,100,0.0,25,l2,186.04894797,209.0
Tight End,2014,9,rbf,100,0.0,25,l2,149.98187571,166.0
Tight End,2014,10,rbf,100,0.0,25,l2,144.67288531,132.0
