Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Runningback,2014,2,100,uniform,l2,[ 263.84],352.0
Runningback,2014,3,100,uniform,l2,[ 299.68],399.0
Runningback,2014,4,100,uniform,l2,[ 185.06],272.0
Runningback,2014,5,100,uniform,l2,[ 348.07],371.0
Runningback,2014,6,100,uniform,l2,[ 331.77],352.0
Runningback,2014,7,100,uniform,l2,[ 351.66],342.0
Runningback,2014,8,100,uniform,l2,[ 369.18],312.0
Runningback,2014,9,100,uniform,l2,[ 312.7],235.0
Runningback,2014,10,100,uniform,l2,[ 350.74],337.0
Runningback,2014,11,100,uniform,l2,[ 362.49],300.0
Runningback,2014,2,110,uniform,l2,[ 265.24545455],352.0
Runningback,2014,3,110,uniform,l2,[ 300.74545455],399.0
Runningback,2014,4,110,uniform,l2,[ 186.35454545],272.0
Runningback,2014,5,110,uniform,l2,[ 347.69090909],371.0
Runningback,2014,6,110,uniform,l2,[ 332.9],352.0
Runningback,2014,7,110,uniform,l2,[ 351.73636364],342.0
Runningback,2014,8,110,uniform,l2,[ 368.31818182],312.0
Runningback,2014,9,110,uniform,l2,[ 313.],235.0
Runningback,2014,10,110,uniform,l2,[ 351.3],337.0
Runningback,2014,11,110,uniform,l2,[ 361.41818182],300.0
Runningback,2014,2,120,uniform,l2,[ 266.3],352.0
Runningback,2014,3,120,uniform,l2,[ 302.24166667],399.0
Runningback,2014,4,120,uniform,l2,[ 186.975],272.0
Runningback,2014,5,120,uniform,l2,[ 347.175],371.0
Runningback,2014,6,120,uniform,l2,[ 333.21666667],352.0
Runningback,2014,7,120,uniform,l2,[ 351.475],342.0
Runningback,2014,8,120,uniform,l2,[ 365.25],312.0
Runningback,2014,9,120,uniform,l2,[ 313.775],235.0
Runningback,2014,10,120,uniform,l2,[ 349.15],337.0
Runningback,2014,11,120,uniform,l2,[ 360.75833333],300.0
Runningback,2014,2,130,uniform,l2,[ 266.83846154],352.0
Runningback,2014,3,130,uniform,l2,[ 302.60769231],399.0
Runningback,2014,4,130,uniform,l2,[ 188.13076923],272.0
Runningback,2014,5,130,uniform,l2,[ 346.10769231],371.0
Runningback,2014,6,130,uniform,l2,[ 330.9],352.0
Runningback,2014,7,130,uniform,l2,[ 354.70769231],342.0
Runningback,2014,8,130,uniform,l2,[ 363.95384615],312.0
Runningback,2014,9,130,uniform,l2,[ 311.22307692],235.0
Runningback,2014,10,130,uniform,l2,[ 347.8],337.0
Runningback,2014,11,130,uniform,l2,[ 360.37692308],300.0
Runningback,2014,2,140,uniform,l2,[ 267.44285714],352.0
Runningback,2014,3,140,uniform,l2,[ 303.17142857],399.0
Runningback,2014,4,140,uniform,l2,[ 188.81428571],272.0
Runningback,2014,5,140,uniform,l2,[ 344.87142857],371.0
Runningback,2014,6,140,uniform,l2,[ 330.47142857],352.0
Runningback,2014,7,140,uniform,l2,[ 353.32857143],342.0
Runningback,2014,8,140,uniform,l2,[ 364.03571429],312.0
Runningback,2014,9,140,uniform,l2,[ 312.57857143],235.0
Runningback,2014,10,140,uniform,l2,[ 348.05714286],337.0
Runningback,2014,11,140,uniform,l2,[ 360.05714286],300.0
Runningback,2014,2,150,uniform,l2,[ 270.62666667],352.0
Runningback,2014,3,150,uniform,l2,[ 300.65333333],399.0
Runningback,2014,4,150,uniform,l2,[ 191.08666667],272.0
Runningback,2014,5,150,uniform,l2,[ 347.02],371.0
Runningback,2014,6,150,uniform,l2,[ 331.14666667],352.0
Runningback,2014,7,150,uniform,l2,[ 353.69333333],342.0
Runningback,2014,8,150,uniform,l2,[ 366.57333333],312.0
Runningback,2014,9,150,uniform,l2,[ 311.66],235.0
Runningback,2014,10,150,uniform,l2,[ 347.46],337.0
Runningback,2014,11,150,uniform,l2,[ 359.87333333],300.0
Runningback,2014,2,160,uniform,l2,[ 272.35625],352.0
Runningback,2014,3,160,uniform,l2,[ 300.1375],399.0
Runningback,2014,4,160,uniform,l2,[ 192.81875],272.0
Runningback,2014,5,160,uniform,l2,[ 347.475],371.0
Runningback,2014,6,160,uniform,l2,[ 330.3625],352.0
Runningback,2014,7,160,uniform,l2,[ 353.86875],342.0
Runningback,2014,8,160,uniform,l2,[ 364.55625],312.0
Runningback,2014,9,160,uniform,l2,[ 311.8],235.0
Runningback,2014,10,160,uniform,l2,[ 347.5375],337.0
Runningback,2014,11,160,uniform,l2,[ 359.50625],300.0
Runningback,2014,2,170,uniform,l2,[ 274.92941176],352.0
Runningback,2014,3,170,uniform,l2,[ 301.94117647],399.0
Runningback,2014,4,170,uniform,l2,[ 193.91176471],272.0
Runningback,2014,5,170,uniform,l2,[ 348.18235294],371.0
Runningback,2014,6,170,uniform,l2,[ 331.01764706],352.0
Runningback,2014,7,170,uniform,l2,[ 351.9],342.0
Runningback,2014,8,170,uniform,l2,[ 364.08235294],312.0
Runningback,2014,9,170,uniform,l2,[ 311.47058824],235.0
Runningback,2014,10,170,uniform,l2,[ 347.12352941],337.0
Runningback,2014,11,170,uniform,l2,[ 360.95294118],300.0
Runningback,2014,2,180,uniform,l2,[ 276.93888889],352.0
Runningback,2014,3,180,uniform,l2,[ 302.18888889],399.0
Runningback,2014,4,180,uniform,l2,[ 193.74444444],272.0
Runningback,2014,5,180,uniform,l2,[ 347.64444444],371.0
Runningback,2014,6,180,uniform,l2,[ 331.55555556],352.0
Runningback,2014,7,180,uniform,l2,[ 351.02222222],342.0
Runningback,2014,8,180,uniform,l2,[ 362.65555556],312.0
Runningback,2014,9,180,uniform,l2,[ 311.38888889],235.0
Runningback,2014,10,180,uniform,l2,[ 347.22777778],337.0
Runningback,2014,11,180,uniform,l2,[ 359.14444444],300.0
Runningback,2014,2,190,uniform,l2,[ 278.26842105],352.0
Runningback,2014,3,190,uniform,l2,[ 301.32105263],399.0
Runningback,2014,4,190,uniform,l2,[ 194.38421053],272.0
Runningback,2014,5,190,uniform,l2,[ 347.63684211],371.0
Runningback,2014,6,190,uniform,l2,[ 330.97368421],352.0
Runningback,2014,7,190,uniform,l2,[ 353.51052632],342.0
Runningback,2014,8,190,uniform,l2,[ 361.96842105],312.0
Runningback,2014,9,190,uniform,l2,[ 312.11578947],235.0
Runningback,2014,10,190,uniform,l2,[ 347.62105263],337.0
Runningback,2014,11,190,uniform,l2,[ 358.72631579],300.0
Runningback,2014,2,200,uniform,l2,[ 279.94],352.0
Runningback,2014,3,200,uniform,l2,[ 303.865],399.0
Runningback,2014,4,200,uniform,l2,[ 195.635],272.0
Runningback,2014,5,200,uniform,l2,[ 348.245],371.0
Runningback,2014,6,200,uniform,l2,[ 330.785],352.0
Runningback,2014,7,200,uniform,l2,[ 355.615],342.0
Runningback,2014,8,200,uniform,l2,[ 361.35],312.0
Runningback,2014,9,200,uniform,l2,[ 313.455],235.0
Runningback,2014,10,200,uniform,l2,[ 347.905],337.0
Runningback,2014,11,200,uniform,l2,[ 358.55],300.0
