Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Quarterback,2014,9,90,uniform,l2,[ 235.18888889],180.0
Quarterback,2014,10,90,uniform,l2,[ 242.48888889],157.0
Quarterback,2014,11,90,uniform,l2,[ 269.63333333],158.0
Quarterback,2014,2,100,uniform,l2,[ 145.37],188.0
Quarterback,2014,3,100,uniform,l2,[ 175.38],227.0
Quarterback,2014,4,100,uniform,l2,[ 156.72],163.0
Quarterback,2014,5,100,uniform,l2,[ 232.64],209.0
Quarterback,2014,6,100,uniform,l2,[ 231.29],237.0
Quarterback,2014,7,100,uniform,l2,[ 213.17],197.0
Quarterback,2014,8,100,uniform,l2,[ 279.27],226.0
Quarterback,2014,9,100,uniform,l2,[ 232.84],180.0
Quarterback,2014,10,100,uniform,l2,[ 240.25],157.0
Quarterback,2014,11,100,uniform,l2,[ 270.66],158.0
Quarterback,2014,2,110,uniform,l2,[ 144.77272727],188.0
Quarterback,2014,3,110,uniform,l2,[ 175.12727273],227.0
Quarterback,2014,4,110,uniform,l2,[ 158.97272727],163.0
Quarterback,2014,5,110,uniform,l2,[ 233.4],209.0
Quarterback,2014,6,110,uniform,l2,[ 232.71818182],237.0
Quarterback,2014,7,110,uniform,l2,[ 214.71818182],197.0
Quarterback,2014,8,110,uniform,l2,[ 278.84545455],226.0
Quarterback,2014,9,110,uniform,l2,[ 234.53636364],180.0
Quarterback,2014,10,110,uniform,l2,[ 238.62727273],157.0
Quarterback,2014,11,110,uniform,l2,[ 270.59090909],158.0
Quarterback,2014,2,120,uniform,l2,[ 146.85833333],188.0
Quarterback,2014,3,120,uniform,l2,[ 173.61666667],227.0
Quarterback,2014,4,120,uniform,l2,[ 160.46666667],163.0
Quarterback,2014,5,120,uniform,l2,[ 234.61666667],209.0
Quarterback,2014,6,120,uniform,l2,[ 232.25833333],237.0
Quarterback,2014,7,120,uniform,l2,[ 215.35],197.0
Quarterback,2014,8,120,uniform,l2,[ 278.45],226.0
Quarterback,2014,9,120,uniform,l2,[ 235.48333333],180.0
Quarterback,2014,10,120,uniform,l2,[ 242.53333333],157.0
Quarterback,2014,11,120,uniform,l2,[ 269.65],158.0
Quarterback,2014,2,130,uniform,l2,[ 146.46153846],188.0
Quarterback,2014,3,130,uniform,l2,[ 174.99230769],227.0
Quarterback,2014,4,130,uniform,l2,[ 160.91538462],163.0
Quarterback,2014,5,130,uniform,l2,[ 234.43076923],209.0
Quarterback,2014,6,130,uniform,l2,[ 233.],237.0
Quarterback,2014,7,130,uniform,l2,[ 214.78461538],197.0
Quarterback,2014,8,130,uniform,l2,[ 279.70769231],226.0
Quarterback,2014,9,130,uniform,l2,[ 237.80769231],180.0
Quarterback,2014,10,130,uniform,l2,[ 243.13076923],157.0
Quarterback,2014,11,130,uniform,l2,[ 269.26923077],158.0
Quarterback,2014,2,140,uniform,l2,[ 150.16428571],188.0
Quarterback,2014,3,140,uniform,l2,[ 179.06428571],227.0
Quarterback,2014,4,140,uniform,l2,[ 161.87142857],163.0
Quarterback,2014,5,140,uniform,l2,[ 235.09285714],209.0
Quarterback,2014,6,140,uniform,l2,[ 232.83571429],237.0
Quarterback,2014,7,140,uniform,l2,[ 215.72857143],197.0
Quarterback,2014,8,140,uniform,l2,[ 280.85714286],226.0
Quarterback,2014,9,140,uniform,l2,[ 237.88571429],180.0
Quarterback,2014,10,140,uniform,l2,[ 242.98571429],157.0
Quarterback,2014,11,140,uniform,l2,[ 269.82142857],158.0
Quarterback,2014,2,150,uniform,l2,[ 151.40666667],188.0
Quarterback,2014,3,150,uniform,l2,[ 179.95333333],227.0
Quarterback,2014,4,150,uniform,l2,[ 161.70666667],163.0
Quarterback,2014,5,150,uniform,l2,[ 237.53333333],209.0
Quarterback,2014,6,150,uniform,l2,[ 230.78666667],237.0
Quarterback,2014,7,150,uniform,l2,[ 215.88666667],197.0
Quarterback,2014,8,150,uniform,l2,[ 280.69333333],226.0
Quarterback,2014,9,150,uniform,l2,[ 237.74],180.0
Quarterback,2014,10,150,uniform,l2,[ 244.07333333],157.0
